y,group
611,1
621,1
614,1
593,1
593,1
653,1
600,1
554,1
603,1
569,1
635,2
605,2
638,2
594,2
599,2
632,2
631,2
588,2
607,2
596,2
650,3
622,3
626,3
626,3
631,3
622,3
643,3
674,3
643,3
650,3
